Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D,SMA(High) 10D,SMA(Low) 10D,SMA(Close) 10D,SMA(Adj Close) 10D,SMA(Volume) 10D
2020-08-31,2174,2174,2060.350098,2080.699951,2074.028076,28648125,,,,,,
2020-09-01,2100,2122.399902,2062.399902,2087.25,2080.556885,17821397,,,,,,
2020-09-02,2092,2138,2085,2128.199951,2121.375732,12437162,,,,,,
2020-09-03,2128,2138.75,2103,2112.100098,2105.327393,8577634,,,,,,
2020-09-04,2083.550049,2096.949951,2072.199951,2077.25,2070.589111,13141644,,,,,,
2020-09-07,2084,2105.75,2044.25,2082.649902,2075.97168,10119064,,,,,,
2020-09-08,2092,2121,2080.5,2107.100098,2100.343506,12643749,,,,,,
2020-09-09,2085,2167.800049,2081.449951,2161.350098,2154.419434,25525961,,,,,,
2020-09-10,2183.100098,2344.949951,2175.350098,2314,2306.579834,64750460,,,,,,
2020-09-11,2312,2337.850098,2287.100098,2319.75,2312.311523,27445768,,,,,,
2020-09-14,2325,2360,2282,2302.550049,2295.166748,20335273,,,,,,
2020-09-15,2311.949951,2325.75,2288.149902,2318.850098,2311.414551,12542824,,,,,,
2020-09-16,2320,2369.350098,2310.550049,2324.550049,2317.096191,15668979,,,,,,
2020-09-17,2320,2333.699951,2291.850098,2298.75,2291.378906,11919927,,,,,,
2020-09-18,2314.25,2319.449951,2276.550049,2305.699951,2298.306396,15264068,,,,,,
2020-09-21,2300,2336,2247.350098,2255.850098,2248.616455,15519031,,,,,,
2020-09-22,2277,2277,2201.550049,2211.149902,2204.05957,16056620,,,,,,
2020-09-23,2260,2276.75,2205.300049,2230.800049,2223.646729,19839282,,,,,,
2020-09-24,2207.899902,2226,2176.050049,2181.199951,2174.205811,13764841,,,,,,
2020-09-25,2189,2212.800049,2167.300049,2201.699951,2194.639893,13095028,,,,,,
2020-09-28,2227,2238,2207.050049,2216.25,2209.143311,9076248,,,,,,
2020-09-29,2225,2264,2216.25,2245.050049,2237.851074,11926328,,,,,,
2020-09-30,2260,2267,2225,2234.350098,2227.185303,11290667,,,,,,
2020-10-01,2263.800049,2263.800049,2214,2225.25,2218.114502,9591456,,,,,,
2020-10-05,2244,2249.149902,2206,2212.199951,2205.106201,8732869,,,,,,
2020-10-06,2225.25,2233.899902,2201.649902,2210.350098,2203.262451,8497216,,,,,,
2020-10-07,2235,2309,2220,2257.5,2250.260986,24538346,,,,,,
2020-10-08,2259,2268,2222.100098,2239.25,2232.06958,9727405,,,,,,
2020-10-09,2235,2253,2217.100098,2233.449951,2226.288086,8558745,,,,,,
2020-10-12,2235,2255.75,2226.25,2237.050049,2229.876709,6565515,,,,,,
